respondent,respondent-name,type,type-name,timezone,timezone-description,energy_demand_MW,value-units,city,date
NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,596869,megawatthours,New York,2025-07-29
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,582872,megawatthours,New York,2025-07-28
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,501539,megawatthours,New York,2025-07-27
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,496179,megawatthours,New York,2025-07-26
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,575801,megawatthours,New York,2025-07-25
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,532796,megawatthours,New York,2025-07-24
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,470924,megawatthours,New York,2025-07-23
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,441587,megawatthours,New York,2025-07-22
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,487180,megawatthours,New York,2025-07-21
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,509431,megawatthours,New York,2025-07-20
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,458594,megawatthours,New York,2025-07-19
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,482873,megawatthours,New York,2025-07-18
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,589724,megawatthours,New York,2025-07-17
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,592140,megawatthours,New York,2025-07-16
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,556763,megawatthours,New York,2025-07-15
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,553017,megawatthours,New York,2025-07-14
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,511525,megawatthours,New York,2025-07-13
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,514307,megawatthours,New York,2025-07-12
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,535035,megawatthours,New York,2025-07-11
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,527963,megawatthours,New York,2025-07-10
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,557217,megawatthours,New York,2025-07-09
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,572908,megawatthours,New York,2025-07-08
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,566605,megawatthours,New York,2025-07-07
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,506101,megawatthours,New York,2025-07-06
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,445794,megawatthours,New York,2025-07-05
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,411270,megawatthours,New York,2025-07-04
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,488481,megawatthours,New York,2025-07-03
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,509100,megawatthours,New York,2025-07-02
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,550254,megawatthours,New York,2025-07-01
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,536985,megawatthours,New York,2025-06-30
NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,479722,megawatthours,New York,2025-06-29
PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Eastern,Eastern,3088097,megawatthours,Chicago,2025-07-29
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,3044589,megawatthours,Chicago,2025-07-28
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2754920,megawatthours,Chicago,2025-07-27
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2782199,megawatthours,Chicago,2025-07-26
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2989047,megawatthours,Chicago,2025-07-25
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2931172,megawatthours,Chicago,2025-07-24
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2755589,megawatthours,Chicago,2025-07-23
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2602759,megawatthours,Chicago,2025-07-22
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2663206,megawatthours,Chicago,2025-07-21
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2603364,megawatthours,Chicago,2025-07-20
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2550428,megawatthours,Chicago,2025-07-19
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2669046,megawatthours,Chicago,2025-07-18
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2915057,megawatthours,Chicago,2025-07-17
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2952010,megawatthours,Chicago,2025-07-16
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2885264,megawatthours,Chicago,2025-07-15
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2836449,megawatthours,Chicago,2025-07-14
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2671369,megawatthours,Chicago,2025-07-13
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2747174,megawatthours,Chicago,2025-07-12
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2870812,megawatthours,Chicago,2025-07-11
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2734933,megawatthours,Chicago,2025-07-10
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2801956,megawatthours,Chicago,2025-07-09
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2889037,megawatthours,Chicago,2025-07-08
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2876563,megawatthours,Chicago,2025-07-07
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2667278,megawatthours,Chicago,2025-07-06
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2566129,megawatthours,Chicago,2025-07-05
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2459314,megawatthours,Chicago,2025-07-04
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2737478,megawatthours,Chicago,2025-07-03
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2696571,megawatthours,Chicago,2025-07-02
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2788097,megawatthours,Chicago,2025-07-01
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2891947,megawatthours,Chicago,2025-06-30
PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2731608,megawatthours,Chicago,2025-06-29
ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1652401,megawatthours,Houston,2025-07-29
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1646742,megawatthours,Houston,2025-07-28
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1553066,megawatthours,Houston,2025-07-27
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1546613,megawatthours,Houston,2025-07-26
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1580924,megawatthours,Houston,2025-07-25
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1660157,megawatthours,Houston,2025-07-24
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1646012,megawatthours,Houston,2025-07-23
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1633215,megawatthours,Houston,2025-07-22
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1629948,megawatthours,Houston,2025-07-21
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1574575,megawatthours,Houston,2025-07-20
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1578050,megawatthours,Houston,2025-07-19
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1572266,megawatthours,Houston,2025-07-18
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1572318,megawatthours,Houston,2025-07-17
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1597302,megawatthours,Houston,2025-07-16
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1575662,megawatthours,Houston,2025-07-15
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1510140,megawatthours,Houston,2025-07-14
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1424677,megawatthours,Houston,2025-07-13
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1493102,megawatthours,Houston,2025-07-12
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1542283,megawatthours,Houston,2025-07-11
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1534068,megawatthours,Houston,2025-07-10
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1471587,megawatthours,Houston,2025-07-09
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1484849,megawatthours,Houston,2025-07-08
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1505984,megawatthours,Houston,2025-07-07
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1409726,megawatthours,Houston,2025-07-06
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1378682,megawatthours,Houston,2025-07-05
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1393075,megawatthours,Houston,2025-07-04
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1436638,megawatthours,Houston,2025-07-03
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1513665,megawatthours,Houston,2025-07-02
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1492168,megawatthours,Houston,2025-07-01
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1518885,megawatthours,Houston,2025-06-30
ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1510724,megawatthours,Houston,2025-06-29
